EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,4,5,2,2,1,3,3,4,13,merike; koolipõlv; käär; õpetamine; aasta; hiiu; hiidlane; lasteraamat; sõna; lili
4,4,5,2,2,1,3,3,4,13,merike; koolipõlv; käär; õpetamine; aasta; hiiu; hiidlane; lasteraamat; sõna; lili
4,4,5,2,2,1,3,3,4,13,merike; koolipõlv; käär; õpetamine; aasta; hiiu; hiidlane; lasteraamat; sõna; lili
4,4,5,2,2,1,3,3,4,13,merike; koolipõlv; käär; õpetamine; aasta; hiiu; hiidlane; lasteraamat; sõna; lili
4,4,5,2,2,1,3,3,4,13,merike; koolipõlv; käär; õpetamine; aasta; hiiu; hiidlane; lasteraamat; sõna; lili
4,4,5,2,2,1,3,3,4,13,merike; koolipõlv; käär; õpetamine; aasta; hiiu; hiidlane; lasteraamat; sõna; lili
4,4,5,2,2,1,3,3,4,13,merike; koolipõlv; käär; õpetamine; aasta; hiiu; hiidlane; lasteraamat; sõna; lili
4,4,5,2,2,1,3,3,4,13,merike; koolipõlv; käär; õpetamine; aasta; hiiu; hiidlane; lasteraamat; sõna; lili
4,4,6,2,2,1,3,3,4,13,merike; koolipõlv; käär; õpetamine; aasta; hiiu; hiidlane; lasteraamat; sõna; lili
4,4,6,1,2,2,3,3,4,13,merike; koolipõlv; käär; õpetamine; aasta; hiiu; hiidlane; lasteraamat; sõna; lili
4,4,5,1,2,2,3,3,5,13,merike; koolipõlv; käär; õpetamine; aasta; hiiu; hiidlane; lasteraamat; sõna; lili
