EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,6,4,6,0,6,4,6,5,12,külalisesinemine; nsv; teatritrupp; riiklik; näitleja; ooperilavastus; sõprus; draamatrupp; vanemuine; tšehhoslovakkia; teater
5,6,4,6,0,6,4,6,5,12,külalisesinemine; nsv; teatritrupp; riiklik; näitleja; ooperilavastus; sõprus; draamatrupp; vanemuine; tšehhoslovakkia; teater
5,6,4,6,0,6,4,6,5,12,külalisesinemine; nsv; teatritrupp; riiklik; näitleja; ooperilavastus; sõprus; draamatrupp; vanemuine; tšehhoslovakkia; teater
5,6,4,6,0,6,4,6,5,12,külalisesinemine; nsv; teatritrupp; riiklik; näitleja; ooperilavastus; sõprus; draamatrupp; vanemuine; tšehhoslovakkia; teater
5,6,4,6,0,6,4,6,5,12,külalisesinemine; nsv; teatritrupp; riiklik; näitleja; ooperilavastus; sõprus; draamatrupp; vanemuine; tšehhoslovakkia; teater
5,6,4,6,0,6,4,6,5,12,külalisesinemine; nsv; teatritrupp; riiklik; näitleja; ooperilavastus; sõprus; draamatrupp; vanemuine; tšehhoslovakkia; teater
5,6,4,6,0,5,4,6,5,12,külalisesinemine; nsv; teatritrupp; riiklik; näitleja; ooperilavastus; sõprus; draamatrupp; vanemuine; tšehhoslovakkia; teater
5,6,4,6,0,5,4,6,5,12,külalisesinemine; nsv; teatritrupp; riiklik; näitleja; ooperilavastus; sõprus; draamatrupp; vanemuine; tšehhoslovakkia; teater
5,6,4,5,0,6,5,6,5,12,külalisesinemine; nsv; vanemuine; teatritrupp; riiklik; näitleja; ooperilavastus; draamatrupp; sõprus; tšehhoslovakkia; teater
5,6,4,5,0,6,5,6,5,12,külalisesinemine; nsv; vanemuine; teatritrupp; riiklik; näitleja; ooperilavastus; draamatrupp; sõprus; tšehhoslovakkia; teater
5,6,4,5,0,6,6,6,5,12,külalisesinemine; nsv; vanemuine; teatritrupp; riiklik; näitleja; ooperilavastus; draamatrupp; sõprus; tšehhoslovakkia; teater
