EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,5,6,3,5,5,6,3,5,15,kirik; evangeelium; rahu; patt; jumal; eesti; ori; jüri; kannatlikkus; sõna; luterlik
6,5,6,3,5,5,6,3,5,15,kirik; evangeelium; rahu; patt; jumal; eesti; ori; jüri; kannatlikkus; sõna; luterlik
6,5,6,3,5,5,6,3,5,15,kirik; evangeelium; rahu; patt; jumal; eesti; ori; jüri; kannatlikkus; sõna; luterlik
6,5,6,3,5,5,6,3,5,15,kirik; evangeelium; rahu; patt; jumal; eesti; ori; jüri; kannatlikkus; sõna; luterlik
6,5,6,3,5,5,6,3,5,15,kirik; evangeelium; rahu; patt; jumal; eesti; ori; jüri; kannatlikkus; sõna; luterlik
6,5,6,3,5,5,6,3,5,15,kirik; evangeelium; rahu; patt; jumal; eesti; ori; jüri; kannatlikkus; sõna; luterlik
6,5,6,3,5,5,6,3,5,15,kirik; evangeelium; rahu; patt; jumal; eesti; ori; jüri; kannatlikkus; sõna; luterlik
6,5,6,3,5,5,6,3,5,15,kirik; evangeelium; rahu; patt; jumal; eesti; ori; jüri; kannatlikkus; sõna; luterlik
6,5,6,3,5,5,6,3,5,15,kirik; evangeelium; rahu; patt; jumal; eesti; ori; jüri; kannatlikkus; sõna; luterlik
6,5,6,3,5,5,6,3,5,15,kirik; evangeelium; rahu; patt; jumal; eesti; ori; jüri; kannatlikkus; sõna; luterlik
6,5,6,3,5,5,6,3,5,15,kirik; evangeelium; rahu; patt; jumal; eesti; ori; jüri; kannatlikkus; sõna; luterlik
