EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
1,4,2,2,4,3,3,1,3,11,reino; sugulane; etendus; jaan; vastik; nutune
1,4,2,2,4,3,3,1,3,11,reino; sugulane; etendus; jaan; vastik; nutune
1,4,2,2,4,3,3,1,3,11,reino; sugulane; etendus; jaan; vastik; nutune
1,4,2,2,4,3,3,1,3,11,reino; sugulane; etendus; jaan; vastik; nutune
1,4,2,2,4,3,3,1,3,11,reino; sugulane; etendus; jaan; vastik; nutune
1,4,2,2,4,3,3,1,3,11,reino; sugulane; etendus; jaan; vastik; nutune
1,4,2,2,4,3,3,1,3,11,reino; sugulane; etendus; jaan; vastik; nutune
1,4,2,2,4,3,3,1,3,11,reino; sugulane; etendus; jaan; vastik; nutune
1,4,2,2,4,3,3,1,3,11,reino; sugulane; etendus; jaan; vastik; nutune
1,4,2,2,4,3,3,1,3,11,reino; sugulane; etendus; jaan; vastik; nutune
1,4,2,2,4,3,3,1,3,11,reino; sugulane; etendus; jaan; vastik; nutune
