EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,1,1,1,1,0,1,1,1,10,akordion; lõuna-eesti; vana; tants; noor
3,1,1,1,1,0,1,1,1,10,akordion; lõuna-eesti; vana; tants; noor
3,1,1,1,1,0,1,1,1,10,akordion; lõuna-eesti; vana; tants; noor
3,1,1,1,1,0,1,1,1,10,akordion; lõuna-eesti; vana; tants; noor
3,1,1,1,1,0,1,1,1,10,akordion; lõuna-eesti; vana; tants; noor
3,1,1,1,1,0,1,1,1,10,akordion; lõuna-eesti; vana; tants; noor
3,1,1,1,1,0,1,1,1,10,akordion; lõuna-eesti; vana; tants; noor
3,1,1,1,1,0,1,1,1,10,akordion; lõuna-eesti; vana; tants; noor
3,1,2,1,1,0,1,1,1,10,akordion; lõuna-eesti; vana; tants; noor
3,1,2,0,1,0,1,1,1,10,akordion; lõuna-eesti; vana; tants; noor
3,1,2,0,1,0,1,1,1,10,akordion; lõuna-eesti; vana; tants; noor
