EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,3,6,6,6,5,7,5,5,10,koer; säuts; eesmärk; ajutine; määrus; haridus; õpilane; öeldistäis; lausemall
7,3,6,6,6,5,7,5,5,10,koer; säuts; eesmärk; ajutine; määrus; haridus; õpilane; öeldistäis; lausemall
7,3,6,6,6,5,7,5,5,10,koer; säuts; eesmärk; ajutine; määrus; haridus; õpilane; öeldistäis; lausemall
7,3,6,6,6,5,7,5,4,10,koer; säuts; eesmärk; ajutine; määrus; haridus; õpilane; öeldistäis; lausemall
7,3,6,6,6,5,7,5,4,10,koer; säuts; eesmärk; ajutine; määrus; haridus; õpilane; öeldistäis; lausemall
7,3,6,6,6,5,7,5,4,10,koer; säuts; eesmärk; ajutine; määrus; haridus; õpilane; öeldistäis; lausemall
7,3,6,6,6,5,7,5,4,10,koer; säuts; eesmärk; ajutine; määrus; haridus; õpilane; öeldistäis; lausemall
7,3,6,6,6,5,7,5,4,10,koer; säuts; eesmärk; ajutine; määrus; haridus; õpilane; öeldistäis; lausemall
7,3,6,6,6,5,7,5,4,10,koer; säuts; eesmärk; ajutine; määrus; haridus; õpilane; öeldistäis; lausemall
7,3,6,6,6,5,7,5,4,10,koer; säuts; eesmärk; ajutine; määrus; haridus; õpilane; öeldistäis; lausemall
7,3,6,6,6,5,7,5,4,10,koer; säuts; eesmärk; ajutine; määrus; haridus; õpilane; öeldistäis; lausemall
