EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,2,5,2,2,2,1,4,0,12,lasteporno; tarkus; tsensuur; port; seadusalgatus; internetiteenus; john; kristjan; jälitamiskohustus; lamar
5,2,5,2,2,2,1,4,0,12,lasteporno; tarkus; tsensuur; port; seadusalgatus; internetiteenus; john; kristjan; jälitamiskohustus; lamar
5,2,5,2,2,2,1,4,1,12,lasteporno; tarkus; tsensuur; port; seadusalgatus; internetiteenus; john; kristjan; jälitamiskohustus; lamar
5,2,5,2,2,2,1,4,1,12,lasteporno; tarkus; tsensuur; port; seadusalgatus; internetiteenus; john; kristjan; jälitamiskohustus; lamar
5,2,5,2,2,2,1,4,1,12,lasteporno; tarkus; tsensuur; port; seadusalgatus; internetiteenus; john; kristjan; jälitamiskohustus; lamar
5,2,5,2,2,2,1,4,1,12,lasteporno; tarkus; tsensuur; port; seadusalgatus; internetiteenus; john; kristjan; jälitamiskohustus; lamar
5,2,4,2,2,2,1,3,1,12,lasteporno; tarkus; tsensuur; port; seadusalgatus; internetiteenus; john; lamar; jälitamiskohustus; kristjan
5,2,4,2,2,2,1,4,1,12,lasteporno; tarkus; tsensuur; port; seadusalgatus; internetiteenus; john; lamar; jälitamiskohustus; kristjan
5,2,5,1,2,2,2,4,1,12,lasteporno; tarkus; tsensuur; port; seadusalgatus; internetiteenus; john; kristjan; jälitamiskohustus; lamar
4,3,5,1,2,2,3,3,1,12,lasteporno; tarkus; tsensuur; port; seadusalgatus; internetiteenus; john; kristjan; jälitamiskohustus; lamar
4,3,5,1,2,2,3,2,1,12,lasteporno; tarkus; tsensuur; port; seadusalgatus; internetiteenus; john; kristjan; jälitamiskohustus; lamar
