EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,4,4,6,1,5,8,3,2,10,õnnistus; rahvakoosolek; kanada; kuulaja; ameerika; jutlus; tempel; laulma; jumal; altar
3,4,4,6,1,5,8,3,2,10,õnnistus; rahvakoosolek; kanada; kuulaja; ameerika; jutlus; tempel; laulma; jumal; altar
3,4,4,6,1,5,8,3,2,10,õnnistus; rahvakoosolek; kanada; kuulaja; ameerika; jutlus; tempel; laulma; jumal; altar
3,4,4,6,1,5,8,3,2,10,õnnistus; rahvakoosolek; kanada; kuulaja; ameerika; jutlus; tempel; laulma; jumal; altar
3,4,4,6,1,5,8,3,2,10,õnnistus; rahvakoosolek; kanada; kuulaja; ameerika; jutlus; tempel; laulma; jumal; altar
3,4,4,6,1,5,8,3,2,10,õnnistus; rahvakoosolek; kanada; kuulaja; ameerika; jutlus; tempel; laulma; jumal; altar
3,4,4,6,1,5,8,3,2,10,õnnistus; rahvakoosolek; kanada; kuulaja; ameerika; jutlus; tempel; laulma; jumal; altar
3,4,4,6,1,5,8,3,2,10,õnnistus; rahvakoosolek; kanada; kuulaja; ameerika; jutlus; tempel; laulma; jumal; altar
3,4,4,6,1,5,8,3,2,10,õnnistus; rahvakoosolek; kanada; kuulaja; ameerika; jutlus; tempel; laulma; jumal; altar
3,4,4,6,1,5,8,3,2,10,õnnistus; rahvakoosolek; kanada; kuulaja; ameerika; jutlus; tempel; laulma; jumal; altar
3,4,4,6,1,5,8,3,2,10,õnnistus; rahvakoosolek; kanada; kuulaja; ameerika; jutlus; tempel; laulma; jumal; altar
