EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,4,3,2,1,2,2,4,3,11,ants; nägemus; sisemus; tooming; arvamus; peegel; õppimine; muutuma
3,4,3,2,1,2,2,4,3,11,ants; nägemus; sisemus; tooming; arvamus; peegel; õppimine; muutuma
3,4,3,2,1,2,2,4,3,11,ants; nägemus; sisemus; tooming; arvamus; peegel; õppimine; muutuma
3,4,3,2,1,2,2,4,3,11,ants; nägemus; sisemus; tooming; arvamus; peegel; õppimine; muutuma
3,4,3,2,1,2,2,4,3,11,ants; nägemus; sisemus; tooming; arvamus; peegel; õppimine; muutuma
3,4,3,2,1,2,2,4,3,11,ants; nägemus; sisemus; tooming; arvamus; peegel; õppimine; muutuma
3,4,3,2,1,2,2,4,3,11,ants; nägemus; sisemus; tooming; arvamus; peegel; õppimine; muutuma
3,4,3,2,1,2,2,4,3,11,ants; nägemus; sisemus; tooming; arvamus; peegel; õppimine; muutuma
3,4,3,2,1,2,2,4,3,11,ants; nägemus; sisemus; tooming; arvamus; peegel; õppimine; muutuma
3,4,3,2,1,2,2,4,3,11,ants; nägemus; sisemus; tooming; arvamus; peegel; õppimine; muutuma
3,4,3,2,1,2,2,4,3,11,ants; nägemus; sisemus; tooming; arvamus; peegel; õppimine; muutuma
