EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,4,4,1,1,4,4,0,3,12,koit; lill; hämarik; lind; faehlmann; robert; päike; friedrich; taevas; huul
5,4,4,1,1,4,4,0,3,12,koit; lill; hämarik; lind; faehlmann; robert; päike; friedrich; taevas; huul
5,4,4,1,1,4,4,0,3,12,koit; lill; hämarik; lind; faehlmann; robert; päike; friedrich; taevas; huul
5,4,4,1,1,4,4,0,3,12,koit; lill; hämarik; lind; faehlmann; robert; päike; friedrich; taevas; huul
5,4,4,1,1,4,4,0,3,12,koit; lill; hämarik; lind; faehlmann; robert; päike; friedrich; taevas; huul
5,4,4,1,1,4,4,0,3,12,koit; lill; hämarik; lind; faehlmann; robert; päike; friedrich; taevas; huul
5,4,4,1,1,4,4,0,3,12,koit; lill; hämarik; lind; faehlmann; robert; päike; friedrich; taevas; huul
5,4,4,1,1,4,4,0,4,12,koit; lill; hämarik; lind; faehlmann; robert; päike; friedrich; taevas; huul
5,4,4,1,1,4,4,0,4,12,koit; lill; hämarik; lind; faehlmann; robert; päike; friedrich; taevas; huul
5,4,4,1,1,4,4,0,4,12,koit; lill; hämarik; lind; faehlmann; robert; päike; friedrich; taevas; huul
5,4,4,1,1,4,4,0,4,12,koit; lill; hämarik; lind; faehlmann; robert; päike; friedrich; taevas; huul
