EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,5,8,3,7,3,8,4,3,11,kineskooptelekas; strandberg; antenn; marek; vasak; signaal; alar; valgus; elektronkiir
4,5,8,3,7,3,8,4,4,11,kineskooptelekas; strandberg; antenn; marek; vasak; signaal; alar; valgus; elektronkiir
4,5,8,3,7,3,8,4,4,11,kineskooptelekas; strandberg; antenn; marek; vasak; signaal; alar; valgus; elektronkiir
4,5,8,3,7,3,8,4,4,11,kineskooptelekas; strandberg; antenn; marek; vasak; signaal; alar; valgus; elektronkiir
4,5,8,3,7,3,8,4,4,11,kineskooptelekas; strandberg; antenn; marek; vasak; signaal; alar; valgus; elektronkiir
4,5,8,3,7,3,8,4,4,11,kineskooptelekas; strandberg; antenn; marek; vasak; signaal; alar; valgus; elektronkiir
4,5,8,3,7,3,8,4,4,11,kineskooptelekas; strandberg; antenn; marek; vasak; signaal; alar; valgus; elektronkiir
4,5,8,3,7,3,8,4,4,11,kineskooptelekas; strandberg; antenn; marek; vasak; signaal; alar; valgus; elektronkiir
4,5,8,3,7,3,8,4,4,11,kineskooptelekas; strandberg; antenn; marek; vasak; signaal; alar; valgus; elektronkiir
4,5,8,3,7,3,8,4,4,11,kineskooptelekas; strandberg; antenn; marek; vasak; signaal; alar; valgus; elektronkiir
4,5,8,3,7,3,8,4,4,11,kineskooptelekas; strandberg; antenn; marek; vasak; signaal; alar; valgus; elektronkiir
