EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
0,2,1,1,0,4,2,0,2,10,muusika; kuuba; superstaar; ladina-ameerika; gloria
0,2,1,1,0,4,2,0,2,10,muusika; kuuba; superstaar; ladina-ameerika; gloria
0,2,1,1,0,4,2,0,2,10,muusika; kuuba; superstaar; ladina-ameerika; gloria
0,2,1,1,0,4,2,0,2,10,muusika; kuuba; superstaar; ladina-ameerika; gloria
0,2,0,1,0,3,2,0,2,10,muusika; kuuba; superstaar; ladina-ameerika; gloria
0,2,0,1,0,3,2,0,2,10,muusika; kuuba; superstaar; ladina-ameerika; gloria
0,2,0,1,0,3,3,0,2,10,muusika; kuuba; superstaar; ladina-ameerika; gloria
1,1,2,1,0,2,2,1,2,10,kuuba; muusika; superstaar; ladina-ameerika; gloria
1,1,3,1,0,1,2,1,2,10,kuuba; muusika; superstaar; ladina-ameerika; gloria
1,1,1,1,1,1,1,0,1,10,muusika; superstaar; ladina-ameerika; gloria; kong
1,1,1,2,1,2,1,1,1,10,muusika; superstaar; ladina-ameerika; gloria; kong
