EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,2,4,7,2,6,6,3,4,15,lasmann; piret; peeter; kriivan; rõõm; põlendik; toomas; kadri; jürgens; meesnäitleja; enesekindlus; tõnu
5,2,4,7,2,6,6,3,4,15,lasmann; piret; peeter; kriivan; rõõm; põlendik; toomas; kadri; jürgens; meesnäitleja; enesekindlus; tõnu
5,2,4,7,2,6,6,3,4,15,lasmann; piret; peeter; kriivan; rõõm; põlendik; toomas; kadri; jürgens; meesnäitleja; enesekindlus; tõnu
5,2,4,7,2,6,6,3,4,15,lasmann; piret; peeter; kriivan; rõõm; põlendik; toomas; kadri; jürgens; meesnäitleja; enesekindlus; tõnu
5,2,4,7,2,6,6,3,4,15,lasmann; piret; peeter; kriivan; rõõm; põlendik; toomas; kadri; jürgens; meesnäitleja; enesekindlus; tõnu
5,2,4,7,2,6,6,3,4,15,lasmann; piret; peeter; kriivan; rõõm; põlendik; toomas; kadri; jürgens; meesnäitleja; enesekindlus; tõnu
5,2,4,7,2,6,6,3,4,15,lasmann; piret; peeter; kriivan; rõõm; põlendik; toomas; kadri; jürgens; meesnäitleja; enesekindlus; tõnu
5,2,4,7,2,6,6,3,4,15,lasmann; piret; peeter; kriivan; rõõm; põlendik; toomas; kadri; jürgens; meesnäitleja; enesekindlus; tõnu
5,2,4,7,2,6,6,3,4,15,lasmann; piret; peeter; kriivan; rõõm; põlendik; toomas; kadri; jürgens; meesnäitleja; enesekindlus; tõnu
5,2,4,7,2,6,6,3,4,15,lasmann; piret; peeter; kriivan; rõõm; põlendik; toomas; kadri; jürgens; meesnäitleja; enesekindlus; tõnu
5,2,4,7,2,6,6,3,4,15,lasmann; piret; peeter; kriivan; rõõm; põlendik; toomas; kadri; jürgens; meesnäitleja; enesekindlus; tõnu
