EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,3,4,4,4,2,2,3,5,11,aktiivne; mendelejev; klaas; muldmetall; plastik; eerik; neodüüm; mart; tabel; valgus
5,3,4,4,4,2,2,3,5,11,aktiivne; mendelejev; klaas; muldmetall; plastik; eerik; neodüüm; mart; tabel; valgus
5,3,4,4,4,2,2,3,5,11,aktiivne; mendelejev; klaas; muldmetall; plastik; eerik; neodüüm; mart; tabel; valgus
5,3,4,4,4,2,2,3,5,11,aktiivne; mendelejev; klaas; muldmetall; plastik; eerik; neodüüm; mart; tabel; valgus
5,3,4,4,4,2,2,3,5,11,aktiivne; mendelejev; klaas; muldmetall; plastik; eerik; neodüüm; mart; tabel; valgus
5,3,4,4,4,2,2,3,5,11,aktiivne; mendelejev; klaas; muldmetall; plastik; eerik; neodüüm; mart; tabel; valgus
5,3,4,4,4,2,2,3,5,11,aktiivne; mendelejev; klaas; muldmetall; plastik; eerik; neodüüm; mart; tabel; valgus
5,3,4,4,4,2,2,3,5,11,aktiivne; mendelejev; klaas; muldmetall; plastik; eerik; neodüüm; mart; tabel; valgus
5,3,4,4,4,2,2,3,4,11,aktiivne; mendelejev; klaas; muldmetall; plastik; eerik; neodüüm; mart; tabel; valgus
5,3,4,4,4,2,2,3,5,11,aktiivne; mendelejev; klaas; muldmetall; plastik; eerik; neodüüm; mart; tabel; valgus
5,3,4,4,4,2,2,3,5,11,aktiivne; mendelejev; klaas; muldmetall; plastik; eerik; neodüüm; mart; tabel; valgus
