EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,5,5,6,4,4,5,3,1,10,saatja; ühendproov; traditsioon; meeskoor; noor; koor; repertuaar; laulupidu; lastekoor
4,5,5,6,4,4,5,3,1,10,saatja; ühendproov; traditsioon; meeskoor; noor; koor; repertuaar; laulupidu; lastekoor
4,5,5,6,4,4,5,3,1,10,saatja; ühendproov; traditsioon; meeskoor; noor; koor; repertuaar; laulupidu; lastekoor
4,5,5,6,4,4,5,3,1,10,saatja; ühendproov; traditsioon; meeskoor; noor; koor; repertuaar; laulupidu; lastekoor
4,5,5,6,4,4,5,3,1,10,saatja; ühendproov; traditsioon; meeskoor; noor; koor; repertuaar; laulupidu; lastekoor
4,5,5,6,4,4,5,3,1,10,saatja; ühendproov; traditsioon; meeskoor; noor; koor; repertuaar; laulupidu; lastekoor
4,5,5,6,4,4,5,3,1,10,saatja; ühendproov; traditsioon; meeskoor; noor; koor; repertuaar; laulupidu; lastekoor
4,5,5,6,4,4,5,3,1,10,saatja; ühendproov; traditsioon; meeskoor; noor; koor; repertuaar; laulupidu; lastekoor
4,5,5,6,4,4,5,3,1,10,saatja; ühendproov; traditsioon; meeskoor; noor; koor; repertuaar; laulupidu; lastekoor
4,5,5,6,4,4,5,3,1,10,saatja; ühendproov; traditsioon; meeskoor; noor; koor; repertuaar; laulupidu; lastekoor
4,5,5,6,4,4,5,3,1,10,saatja; ühendproov; traditsioon; meeskoor; noor; koor; repertuaar; laulupidu; lastekoor
