EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,3,4,2,1,2,3,1,4,10,september; muusika; vaikus; popmuusika; laul; tõnis; kool
5,3,4,2,1,2,3,1,4,10,september; muusika; vaikus; popmuusika; laul; tõnis; kool
5,3,4,2,1,2,3,1,4,10,september; muusika; vaikus; popmuusika; laul; tõnis; kool
5,3,4,2,1,2,3,1,4,10,september; muusika; vaikus; popmuusika; laul; tõnis; kool
5,3,4,2,1,2,3,1,4,10,september; muusika; vaikus; popmuusika; laul; tõnis; kool
5,3,4,2,1,2,3,1,4,10,september; muusika; vaikus; popmuusika; laul; tõnis; kool
5,3,4,2,1,2,3,1,4,10,september; muusika; vaikus; popmuusika; laul; tõnis; kool
5,3,4,2,1,2,3,1,4,10,september; muusika; vaikus; popmuusika; laul; tõnis; kool
5,3,4,2,1,2,3,1,4,10,september; muusika; vaikus; popmuusika; laul; tõnis; kool
5,3,4,2,1,2,3,1,4,10,september; muusika; vaikus; popmuusika; laul; tõnis; kool
5,3,4,2,1,2,3,1,4,10,september; muusika; vaikus; popmuusika; laul; tõnis; kool
