EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,3,3,3,2,3,3,2,2,12,turupositsioon; poliitika; portaal; relv; port; kristjan; internet; mõjuvõim; rahupreemia; veebiteenus
6,3,3,3,2,3,3,2,2,12,turupositsioon; poliitika; portaal; relv; port; kristjan; internet; mõjuvõim; rahupreemia; veebiteenus
6,3,3,3,2,3,3,2,2,12,turupositsioon; poliitika; portaal; relv; port; kristjan; internet; mõjuvõim; rahupreemia; veebiteenus
6,3,3,3,2,3,3,2,2,12,turupositsioon; poliitika; portaal; relv; port; kristjan; internet; mõjuvõim; rahupreemia; veebiteenus
6,3,3,3,2,3,3,2,2,12,turupositsioon; poliitika; portaal; relv; port; kristjan; internet; mõjuvõim; rahupreemia; veebiteenus
6,3,3,3,2,3,3,2,2,12,turupositsioon; poliitika; portaal; relv; port; kristjan; internet; mõjuvõim; rahupreemia; veebiteenus
6,3,4,3,2,3,3,2,2,12,turupositsioon; poliitika; portaal; relv; port; kristjan; internet; mõjuvõim; rahupreemia; veebiteenus
6,3,2,4,2,3,5,2,2,12,turupositsioon; poliitika; portaal; relv; port; kristjan; internet; mõjuvõim; rahupreemia; veebiteenus
5,3,2,4,2,3,5,2,2,12,turupositsioon; poliitika; portaal; relv; port; kristjan; internet; mõjuvõim; rahupreemia; veebiteenus
5,3,1,4,2,3,5,3,2,12,turupositsioon; poliitika; portaal; relv; port; kristjan; internet; mõjuvõim; rahupreemia; veebiteenus
5,3,2,4,2,4,5,5,3,12,turupositsioon; poliitika; portaal; relv; port; kristjan; internet; mõjuvõim; rahupreemia; veebiteenus
