EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,3,5,5,4,6,7,8,3,10,lill; koit; valgusandja; ööbik; faehlmann; taevas; hämarik; vanaisa
6,3,5,5,4,6,7,8,3,10,lill; koit; valgusandja; ööbik; faehlmann; taevas; hämarik; vanaisa
6,3,5,5,4,6,7,8,3,10,lill; koit; valgusandja; ööbik; faehlmann; taevas; hämarik; vanaisa
6,3,5,5,4,6,7,7,3,10,lill; koit; valgusandja; ööbik; faehlmann; taevas; hämarik; vanaisa
6,3,5,5,4,6,7,8,3,10,lill; koit; valgusandja; ööbik; faehlmann; taevas; hämarik; vanaisa
6,3,5,5,4,6,7,8,3,10,lill; koit; valgusandja; ööbik; faehlmann; taevas; hämarik; vanaisa
5,3,5,6,4,6,6,7,3,10,lill; koit; valgusandja; ööbik; faehlmann; taevas; hämarik; vanaisa
4,3,5,6,4,7,6,8,3,10,lill; koit; valgusandja; ööbik; faehlmann; taevas; hämarik; vanaisa
4,3,5,6,4,7,7,8,3,10,lill; koit; valgusandja; ööbik; faehlmann; taevas; hämarik; vanaisa
3,3,5,6,4,7,7,8,3,10,lill; koit; valgusandja; ööbik; faehlmann; taevas; hämarik; vanaisa
2,3,5,6,4,6,7,8,4,10,lill; koit; valgusandja; ööbik; faehlmann; taevas; hämarik; vanaisa
