EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,3,3,2,2,2,3,3,2,10,režissöör; stuudio; televisioon; direktor; saade; toimetus
2,3,3,2,2,2,3,3,2,10,režissöör; stuudio; televisioon; direktor; saade; toimetus
2,3,3,2,2,2,3,3,2,10,režissöör; stuudio; televisioon; direktor; saade; toimetus
2,3,3,2,2,2,3,3,2,10,režissöör; stuudio; televisioon; direktor; saade; toimetus
2,3,3,2,2,2,3,3,2,10,režissöör; stuudio; televisioon; direktor; saade; toimetus
1,3,3,2,2,2,3,3,2,10,režissöör; stuudio; televisioon; direktor; saade; toimetus
3,2,4,4,2,3,2,3,2,10,stuudio; direktor; toimetus; režissöör; televisioon; saade
3,0,4,3,2,3,4,3,2,10,stuudio; direktor; toimetus; režissöör; televisioon; saade
2,0,3,2,2,3,3,4,2,10,stuudio; direktor; toimetus; režissöör; televisioon; saade
2,2,2,4,1,2,3,4,2,10,stuudio; direktor; toimetus; režissöör; televisioon; saade
2,0,2,4,1,2,4,3,2,10,stuudio; direktor; toimetus; režissöör; televisioon; saade
