EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,4,5,5,6,6,6,5,7,12,patt; jumal; isa; ori; vaba; kannatlikkus; sõna; päästma
8,4,5,5,6,6,6,5,7,12,patt; jumal; isa; ori; vaba; kannatlikkus; sõna; päästma
8,4,5,5,6,6,6,5,7,12,patt; jumal; isa; ori; vaba; kannatlikkus; sõna; päästma
8,4,5,5,6,6,6,5,7,12,patt; jumal; isa; ori; vaba; kannatlikkus; sõna; päästma
8,4,5,5,6,6,6,5,7,12,patt; jumal; isa; ori; vaba; kannatlikkus; sõna; päästma
8,4,5,5,6,6,6,5,7,12,patt; jumal; isa; ori; vaba; kannatlikkus; sõna; päästma
8,4,5,5,6,6,6,5,7,12,patt; jumal; isa; ori; vaba; kannatlikkus; sõna; päästma
8,4,5,5,6,6,6,5,7,12,patt; jumal; isa; ori; vaba; kannatlikkus; sõna; päästma
8,4,5,5,6,6,6,5,7,12,patt; jumal; isa; ori; vaba; kannatlikkus; sõna; päästma
8,4,5,5,6,6,6,5,7,12,patt; jumal; isa; ori; vaba; kannatlikkus; sõna; päästma
8,4,5,5,6,6,6,5,7,12,patt; jumal; isa; ori; vaba; kannatlikkus; sõna; päästma
