EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,5,7,5,3,3,6,6,6,11,katus; ema; töö; katariina; ronima; lõpp; redel; poiss; kohvik; kool
4,5,7,5,3,3,6,6,6,11,katus; ema; töö; katariina; ronima; lõpp; redel; poiss; kohvik; kool
4,5,7,5,3,3,6,6,5,11,katus; ema; töö; katariina; ronima; lõpp; redel; poiss; kohvik; kool
4,5,7,5,3,3,6,6,5,11,katus; ema; töö; katariina; ronima; lõpp; redel; poiss; kohvik; kool
4,5,7,5,3,3,6,6,5,11,katus; ema; töö; katariina; ronima; lõpp; redel; poiss; kohvik; kool
4,5,7,5,3,3,6,7,5,11,katus; ema; töö; katariina; ronima; lõpp; redel; poiss; kohvik; kool
4,5,8,5,3,5,4,7,5,11,katus; ema; töö; katariina; ronima; lõpp; redel; poiss; kohvik; kool
5,5,7,5,3,7,5,5,5,11,katus; ema; töö; katariina; ronima; lõpp; redel; poiss; kohvik; kool
4,6,5,6,3,6,6,5,6,11,katus; ema; töö; katariina; ronima; lõpp; redel; poiss; kohvik; kool
5,6,6,4,4,6,5,5,7,11,katus; ema; töö; katariina; ronima; lõpp; redel; poiss; kohvik; kool
5,3,5,5,4,6,4,3,7,11,katus; ema; töö; katariina; ronima; lõpp; redel; poiss; kohvik; kool
