EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,2,1,1,0,3,2,2,3,13,film; furmanov; stalin; liit; prototüüp
4,2,1,1,0,3,2,2,3,13,film; furmanov; stalin; liit; prototüüp
4,2,1,1,0,3,2,2,3,13,film; furmanov; stalin; liit; prototüüp
4,2,1,1,0,3,2,2,3,13,film; furmanov; stalin; liit; prototüüp
4,2,1,1,0,3,2,2,3,13,film; furmanov; stalin; liit; prototüüp
4,2,1,1,0,3,2,3,3,13,film; furmanov; stalin; liit; prototüüp
2,2,1,2,0,3,3,3,3,13,film; furmanov; stalin; liit; prototüüp
3,2,1,1,0,2,3,2,3,13,film; furmanov; stalin; liit; prototüüp
4,3,2,2,0,2,3,2,3,13,film; furmanov; stalin; liit; prototüüp
3,2,1,3,0,3,3,2,3,13,film; furmanov; stalin; liit; prototüüp
2,2,1,3,1,2,3,2,3,13,film; furmanov; stalin; liit; prototüüp
