EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,4,3,4,0,3,4,2,4,13,põgenik; süüria; eurovisioon; eesti; keel; hobune; kreeka; tolmeldaja
4,4,3,4,0,3,4,2,4,13,põgenik; süüria; eurovisioon; eesti; keel; hobune; kreeka; tolmeldaja
4,4,3,4,0,3,4,2,4,13,põgenik; süüria; eurovisioon; eesti; keel; hobune; kreeka; tolmeldaja
4,4,4,4,0,3,4,2,4,13,põgenik; süüria; eurovisioon; eesti; keel; hobune; kreeka; tolmeldaja
4,4,3,4,0,3,4,2,4,13,põgenik; süüria; eurovisioon; eesti; keel; hobune; kreeka; tolmeldaja
4,4,5,4,0,3,4,2,4,13,põgenik; süüria; eurovisioon; eesti; keel; hobune; kreeka; tolmeldaja
3,3,5,5,0,4,3,3,4,13,põgenik; süüria; eurovisioon; eesti; keel; hobune; kreeka; tolmeldaja
4,2,4,4,0,5,3,3,4,13,põgenik; süüria; eurovisioon; eesti; keel; hobune; kreeka; tolmeldaja
4,1,4,2,1,5,3,5,4,13,põgenik; süüria; eurovisioon; eesti; keel; hobune; kreeka; tolmeldaja
3,3,5,4,1,4,3,4,1,13,põgenik; süüria; eurovisioon; eesti; keel; hobune; kreeka; tolmeldaja
6,3,3,4,1,5,4,4,2,13,põgenik; süüria; eurovisioon; eesti; keel; hobune; kreeka; tolmeldaja
