EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,8,10,10,2,7,6,10,4,12,teadusrakendus; teaduspreemia; teadlane; akadeemia; peaminister; saal; iseseisvuspäev; õpe; tulemus; tulevik; teadlaskollektiiv; elukestev
6,8,10,10,2,7,6,10,4,12,teadusrakendus; teaduspreemia; teadlane; akadeemia; peaminister; saal; iseseisvuspäev; õpe; tulemus; tulevik; teadlaskollektiiv; elukestev
6,8,10,10,2,7,6,10,4,12,teadusrakendus; teaduspreemia; teadlane; akadeemia; peaminister; saal; iseseisvuspäev; õpe; tulemus; tulevik; teadlaskollektiiv; elukestev
6,8,10,10,2,7,6,10,4,12,teadusrakendus; teaduspreemia; teadlane; akadeemia; peaminister; saal; iseseisvuspäev; õpe; tulemus; tulevik; teadlaskollektiiv; elukestev
6,8,10,10,2,7,6,10,4,12,teadusrakendus; teaduspreemia; teadlane; akadeemia; peaminister; saal; iseseisvuspäev; õpe; tulemus; tulevik; teadlaskollektiiv; elukestev
6,8,11,10,2,7,6,10,4,12,teadusrakendus; teaduspreemia; teadlane; akadeemia; peaminister; saal; iseseisvuspäev; õpe; tulemus; tulevik; teadlaskollektiiv; elukestev
6,8,11,10,2,7,6,10,4,12,teadusrakendus; teaduspreemia; teadlane; akadeemia; peaminister; saal; iseseisvuspäev; õpe; tulemus; tulevik; teadlaskollektiiv; elukestev
6,8,11,10,2,7,6,10,4,12,teadusrakendus; teaduspreemia; teadlane; akadeemia; peaminister; saal; iseseisvuspäev; õpe; tulemus; tulevik; teadlaskollektiiv; elukestev
6,8,11,10,2,7,7,10,4,12,teadusrakendus; teaduspreemia; teadlane; akadeemia; peaminister; saal; iseseisvuspäev; õpe; tulemus; tulevik; teadlaskollektiiv; elukestev
4,8,11,10,2,7,6,10,4,12,teadusrakendus; teaduspreemia; teadlane; akadeemia; peaminister; saal; iseseisvuspäev; õpe; tulemus; tulevik; teadlaskollektiiv; elukestev
4,8,11,10,2,7,8,10,4,12,teadusrakendus; teaduspreemia; teadlane; akadeemia; peaminister; saal; iseseisvuspäev; õpe; tulemus; tulevik; teadlaskollektiiv; elukestev
