EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,6,8,10,9,9,10,10,9,12,saun; martin; vangla; põrand; nurk; sidepidamine; kavalus; ämber; võitlus; edasitoimetamine; raamat; kiri
9,6,8,10,8,9,10,10,9,12,saun; martin; vangla; põrand; nurk; sidepidamine; kavalus; ämber; võitlus; edasitoimetamine; raamat; kiri
9,6,8,10,8,9,10,10,10,12,saun; martin; vangla; põrand; nurk; sidepidamine; kavalus; ämber; võitlus; edasitoimetamine; raamat; kiri
9,6,8,10,8,9,10,10,10,12,saun; martin; vangla; põrand; nurk; sidepidamine; kavalus; ämber; võitlus; edasitoimetamine; raamat; kiri
9,6,8,10,8,9,10,10,10,12,saun; martin; vangla; põrand; nurk; sidepidamine; kavalus; ämber; võitlus; edasitoimetamine; raamat; kiri
9,6,8,10,8,9,10,10,10,12,saun; martin; vangla; põrand; nurk; sidepidamine; kavalus; ämber; võitlus; edasitoimetamine; raamat; kiri
9,6,8,10,8,9,10,10,10,12,saun; martin; vangla; põrand; nurk; sidepidamine; kavalus; ämber; võitlus; edasitoimetamine; raamat; kiri
9,6,8,10,8,9,10,10,10,12,saun; martin; vangla; põrand; nurk; sidepidamine; kavalus; ämber; võitlus; edasitoimetamine; raamat; kiri
9,6,8,10,9,9,10,10,10,12,saun; martin; vangla; põrand; nurk; sidepidamine; kavalus; ämber; võitlus; edasitoimetamine; raamat; kiri
9,6,8,10,9,9,10,10,10,12,saun; martin; vangla; põrand; nurk; sidepidamine; kavalus; ämber; võitlus; edasitoimetamine; raamat; kiri
9,6,8,10,8,9,10,10,10,12,saun; martin; vangla; põrand; nurk; sidepidamine; kavalus; ämber; võitlus; edasitoimetamine; raamat; kiri
