EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,4,3,4,2,4,5,6,5,12,kultuuripäev; külalisesinemine; teatritrupp; vilimaa; suhe; ooperilavastus; ülo; ostrava; tšehhoslovakkia; sõprusteater
8,4,3,4,2,4,5,6,5,12,kultuuripäev; külalisesinemine; teatritrupp; vilimaa; suhe; ooperilavastus; ülo; ostrava; tšehhoslovakkia; sõprusteater
8,4,3,4,2,4,5,6,5,12,kultuuripäev; külalisesinemine; teatritrupp; vilimaa; suhe; ooperilavastus; ülo; ostrava; tšehhoslovakkia; sõprusteater
8,4,3,4,2,4,5,6,5,12,kultuuripäev; külalisesinemine; teatritrupp; vilimaa; suhe; ooperilavastus; ülo; ostrava; tšehhoslovakkia; sõprusteater
8,4,3,4,2,4,5,6,5,12,kultuuripäev; külalisesinemine; teatritrupp; vilimaa; suhe; ooperilavastus; ülo; ostrava; tšehhoslovakkia; sõprusteater
8,4,3,4,2,4,5,6,5,12,kultuuripäev; külalisesinemine; teatritrupp; vilimaa; suhe; ooperilavastus; ülo; ostrava; tšehhoslovakkia; sõprusteater
8,4,3,4,2,4,5,6,5,12,kultuuripäev; külalisesinemine; teatritrupp; vilimaa; suhe; ooperilavastus; ülo; ostrava; tšehhoslovakkia; sõprusteater
8,4,3,7,2,4,5,6,5,12,kultuuripäev; külalisesinemine; teatritrupp; vilimaa; suhe; ooperilavastus; ülo; ostrava; tšehhoslovakkia; sõprusteater
8,4,3,8,2,5,5,6,5,12,kultuuripäev; külalisesinemine; teatritrupp; vilimaa; suhe; ooperilavastus; ülo; ostrava; tšehhoslovakkia; sõprusteater
8,4,3,8,2,6,5,6,5,12,külalisesinemine; kultuuripäev; teatritrupp; vilimaa; suhe; ooperilavastus; ülo; ostrava; tšehhoslovakkia; sõprusteater
8,4,3,7,2,5,4,6,5,12,külalisesinemine; kultuuripäev; teatritrupp; vilimaa; suhe; ooperilavastus; ülo; ostrava; tšehhoslovakkia; sõprusteater
