EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,6,5,7,3,6,6,8,6,13,september; muusikapala; tõnismägi; vikerraadio; muusik; klassikaline; vikerhommik; mälestus; rokkmuusika; vaikus; muusika; tõnis
6,6,5,7,3,6,6,8,6,13,september; muusikapala; tõnismägi; vikerraadio; muusik; klassikaline; vikerhommik; mälestus; rokkmuusika; vaikus; muusika; tõnis
6,6,5,7,3,6,6,8,6,13,september; muusikapala; tõnismägi; vikerraadio; muusik; klassikaline; vikerhommik; mälestus; rokkmuusika; vaikus; muusika; tõnis
6,6,5,7,3,6,6,8,6,13,september; muusikapala; tõnismägi; vikerraadio; muusik; klassikaline; vikerhommik; mälestus; rokkmuusika; vaikus; muusika; tõnis
6,6,5,7,3,6,6,8,6,13,september; muusikapala; tõnismägi; vikerraadio; muusik; klassikaline; vikerhommik; mälestus; rokkmuusika; vaikus; muusika; tõnis
6,6,5,7,3,6,6,8,6,13,september; muusikapala; tõnismägi; vikerraadio; muusik; klassikaline; vikerhommik; mälestus; rokkmuusika; vaikus; muusika; tõnis
6,6,5,7,3,6,6,8,6,13,september; muusikapala; tõnismägi; vikerraadio; muusik; klassikaline; vikerhommik; mälestus; rokkmuusika; vaikus; muusika; tõnis
6,6,5,7,3,6,6,8,6,13,september; muusikapala; tõnismägi; vikerraadio; muusik; klassikaline; vikerhommik; mälestus; rokkmuusika; vaikus; muusika; tõnis
6,6,5,7,3,6,6,8,6,13,september; muusikapala; tõnismägi; vikerraadio; muusik; klassikaline; vikerhommik; mälestus; rokkmuusika; vaikus; muusika; tõnis
6,6,5,7,3,6,6,8,6,13,september; muusikapala; tõnismägi; vikerraadio; muusik; klassikaline; vikerhommik; mälestus; rokkmuusika; vaikus; muusika; tõnis
6,6,5,7,3,6,6,8,6,13,september; muusikapala; tõnismägi; vikerraadio; muusik; klassikaline; vikerhommik; mälestus; rokkmuusika; vaikus; muusika; tõnis
