EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,6,4,10,2,8,9,6,4,13,muusikamaitse; lapsepõlv; kümnevõistleja; mercury; andres; klassikaraadio; eesti; maailmameistrivõistlus; lemmiklaul; rada; olümpiamängud
8,6,4,10,2,8,9,6,4,13,muusikamaitse; lapsepõlv; kümnevõistleja; mercury; andres; klassikaraadio; eesti; maailmameistrivõistlus; lemmiklaul; rada; olümpiamängud
8,6,4,10,2,8,9,6,4,13,muusikamaitse; lapsepõlv; kümnevõistleja; mercury; andres; klassikaraadio; eesti; maailmameistrivõistlus; lemmiklaul; rada; olümpiamängud
8,6,4,10,2,8,9,6,4,13,muusikamaitse; lapsepõlv; kümnevõistleja; mercury; andres; klassikaraadio; eesti; maailmameistrivõistlus; lemmiklaul; rada; olümpiamängud
8,6,4,10,2,8,9,6,4,13,muusikamaitse; lapsepõlv; kümnevõistleja; mercury; andres; klassikaraadio; eesti; maailmameistrivõistlus; lemmiklaul; rada; olümpiamängud
8,6,4,10,2,8,9,6,4,13,muusikamaitse; lapsepõlv; kümnevõistleja; mercury; andres; klassikaraadio; eesti; maailmameistrivõistlus; lemmiklaul; rada; olümpiamängud
8,6,4,10,2,8,9,6,4,13,muusikamaitse; lapsepõlv; kümnevõistleja; mercury; andres; klassikaraadio; eesti; maailmameistrivõistlus; lemmiklaul; rada; olümpiamängud
8,6,4,10,2,8,9,6,4,13,muusikamaitse; lapsepõlv; kümnevõistleja; mercury; andres; klassikaraadio; eesti; maailmameistrivõistlus; lemmiklaul; rada; olümpiamängud
8,6,4,10,2,8,9,6,4,13,muusikamaitse; lapsepõlv; kümnevõistleja; mercury; andres; klassikaraadio; eesti; maailmameistrivõistlus; lemmiklaul; rada; olümpiamängud
8,6,4,10,2,8,9,6,4,13,muusikamaitse; lapsepõlv; kümnevõistleja; mercury; andres; klassikaraadio; eesti; maailmameistrivõistlus; lemmiklaul; rada; olümpiamängud
8,6,4,10,2,8,9,6,4,13,muusikamaitse; lapsepõlv; kümnevõistleja; mercury; andres; klassikaraadio; eesti; maailmameistrivõistlus; lemmiklaul; rada; olümpiamängud
