EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,2,1,3,2,2,2,2,1,13,provints; balti; tartu; haridus; peeter
2,2,1,3,2,2,2,2,1,13,provints; balti; tartu; haridus; peeter
2,2,1,3,2,2,2,2,1,13,provints; balti; tartu; haridus; peeter
2,2,1,3,2,2,2,2,1,13,provints; balti; tartu; haridus; peeter
2,2,1,3,2,1,2,2,1,13,provints; balti; tartu; haridus; peeter
2,2,1,3,2,2,2,2,1,13,provints; balti; tartu; haridus; peeter
2,2,1,3,2,2,3,3,1,13,provints; balti; tartu; haridus; peeter
2,2,1,4,2,2,3,3,1,13,provints; balti; tartu; haridus; peeter
2,2,2,3,1,2,3,3,1,13,provints; balti; tartu; haridus; peeter
2,2,2,3,1,2,3,2,1,13,provints; balti; tartu; haridus; peeter
1,2,3,3,1,1,3,2,2,13,provints; balti; tartu; haridus; peeter
