EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,9,5,7,5,9,7,7,5,13,jumalik; autoriteet; bürokraatia; euroopa; käsuõpetus; liit; seadusriik; demokraatia; seadus; väärtus; vähemus; kristlik
6,9,5,7,5,9,7,7,5,13,jumalik; autoriteet; bürokraatia; euroopa; käsuõpetus; liit; seadusriik; demokraatia; seadus; väärtus; vähemus; kristlik
6,9,5,7,5,9,7,7,5,13,jumalik; autoriteet; bürokraatia; euroopa; käsuõpetus; liit; seadusriik; demokraatia; seadus; väärtus; vähemus; kristlik
6,9,5,7,5,9,7,7,6,13,jumalik; autoriteet; bürokraatia; euroopa; käsuõpetus; liit; seadusriik; demokraatia; seadus; väärtus; vähemus; kristlik
6,9,5,7,5,9,7,7,6,13,jumalik; autoriteet; bürokraatia; euroopa; käsuõpetus; liit; seadusriik; demokraatia; seadus; väärtus; vähemus; kristlik
6,9,5,7,5,9,7,7,6,13,jumalik; autoriteet; bürokraatia; euroopa; käsuõpetus; liit; seadusriik; demokraatia; seadus; väärtus; vähemus; kristlik
6,9,5,7,5,9,7,7,6,13,jumalik; autoriteet; bürokraatia; euroopa; käsuõpetus; liit; seadusriik; demokraatia; seadus; väärtus; vähemus; kristlik
6,9,5,7,5,9,7,7,6,13,jumalik; autoriteet; bürokraatia; euroopa; käsuõpetus; liit; seadusriik; demokraatia; seadus; väärtus; vähemus; kristlik
6,9,5,7,5,9,7,6,6,13,jumalik; autoriteet; bürokraatia; euroopa; käsuõpetus; liit; seadusriik; demokraatia; seadus; väärtus; vähemus; kristlik
6,9,5,7,5,9,7,6,6,13,jumalik; autoriteet; bürokraatia; euroopa; käsuõpetus; liit; seadusriik; demokraatia; seadus; väärtus; vähemus; kristlik
6,9,5,7,5,9,7,7,6,13,jumalik; autoriteet; bürokraatia; euroopa; käsuõpetus; liit; seadusriik; demokraatia; seadus; väärtus; vähemus; kristlik
