EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,6,5,4,0,2,3,6,4,12,lahing; britt; nato; sõda; õppus; tehnika; väin; suur; kaitseliit; klubi; saar
3,6,5,4,0,2,3,6,4,12,lahing; britt; nato; sõda; õppus; tehnika; väin; suur; kaitseliit; klubi; saar
3,6,5,4,0,2,3,6,4,12,lahing; britt; nato; sõda; õppus; tehnika; väin; suur; kaitseliit; klubi; saar
3,6,5,4,0,2,3,6,4,12,lahing; britt; nato; sõda; õppus; tehnika; väin; suur; kaitseliit; klubi; saar
3,6,5,4,0,2,3,6,4,12,lahing; britt; nato; sõda; õppus; tehnika; väin; suur; kaitseliit; klubi; saar
3,6,6,4,0,2,3,6,4,12,lahing; britt; nato; sõda; õppus; tehnika; väin; suur; kaitseliit; klubi; saar
4,6,6,4,0,2,4,7,4,12,lahing; britt; nato; sõda; õppus; tehnika; väin; suur; kaitseliit; klubi; saar
5,6,7,5,0,2,4,6,4,12,lahing; britt; nato; sõda; õppus; tehnika; väin; suur; kaitseliit; klubi; saar
5,6,6,4,0,3,4,6,4,12,lahing; britt; nato; sõda; õppus; tehnika; väin; suur; kaitseliit; klubi; saar
5,6,7,4,0,3,4,7,5,12,lahing; britt; nato; sõda; õppus; tehnika; suur; kaitseliit; väin; klubi; saar
5,6,7,4,1,3,4,6,4,12,lahing; britt; nato; sõda; õppus; tehnika; kaitseliit; suur; väin; klubi; saar
