EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,7,6,4,6,5,5,5,6,13,iraan; aasta; popiidol; uus; kana; senjorii; üksinda; trump; televisioon; kodu; jäähoki
5,7,6,4,6,5,5,5,6,13,iraan; aasta; popiidol; uus; kana; senjorii; üksinda; trump; televisioon; kodu; jäähoki
5,7,6,4,6,5,5,5,6,13,iraan; aasta; popiidol; uus; kana; senjorii; üksinda; trump; televisioon; kodu; jäähoki
5,7,6,4,6,5,5,5,6,13,iraan; aasta; popiidol; uus; kana; senjorii; üksinda; trump; televisioon; kodu; jäähoki
5,7,6,4,6,5,5,5,6,13,iraan; aasta; popiidol; uus; kana; senjorii; üksinda; trump; televisioon; kodu; jäähoki
5,7,6,4,6,5,5,6,6,13,iraan; aasta; popiidol; uus; kana; senjorii; üksinda; trump; televisioon; kodu; jäähoki
6,7,6,4,6,5,5,6,6,13,iraan; aasta; popiidol; uus; kana; senjorii; üksinda; trump; televisioon; kodu; jäähoki
7,7,6,7,6,5,5,6,6,13,iraan; aasta; popiidol; uus; kana; senjorii; üksinda; trump; televisioon; kodu; jäähoki
6,7,6,6,6,5,5,6,6,13,iraan; aasta; popiidol; uus; kana; senjorii; üksinda; trump; televisioon; kodu; jäähoki
6,7,4,7,6,5,5,6,6,13,iraan; aasta; popiidol; uus; kana; senjorii; üksinda; trump; televisioon; kodu; jäähoki
7,7,4,8,6,5,5,6,6,13,iraan; kana; uus; senjorii; televisioon; aasta; popiidol; üksinda; trump; kodu; jäähoki
