EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,2,6,3,1,1,1,3,4,14,valitsus; konverents; kommunistlik; päts; sõda; tööline; partei
2,2,6,3,1,1,1,3,4,14,valitsus; konverents; kommunistlik; päts; sõda; tööline; partei
2,2,6,3,1,1,1,3,4,14,valitsus; konverents; kommunistlik; päts; sõda; tööline; partei
2,2,4,3,1,1,1,3,4,14,valitsus; konverents; kommunistlik; päts; sõda; tööline; partei
2,2,3,3,1,1,1,3,4,14,valitsus; konverents; kommunistlik; päts; sõda; tööline; partei
2,2,5,3,1,1,1,3,4,14,valitsus; konverents; kommunistlik; päts; sõda; tööline; partei
2,2,4,3,1,1,3,2,3,14,valitsus; konverents; kommunistlik; päts; sõda; tööline; partei
3,4,3,4,1,1,1,1,3,14,valitsus; konverents; kommunistlik; päts; sõda; tööline; partei
4,5,0,1,1,1,1,3,4,14,valitsus; konverents; kommunistlik; päts; sõda; tööline; partei
5,6,2,1,1,1,1,3,5,14,valitsus; konverents; kommunistlik; päts; sõda; tööline; partei
4,4,3,2,2,1,2,1,3,14,valitsus; konverents; kommunistlik; päts; sõda; tööline; partei
