EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,6,4,4,3,4,3,4,4,13,kreutzwald; keskus; eesti; teema-aasta; lugemine; identiteet; seminar
4,6,4,4,3,4,3,4,4,13,kreutzwald; keskus; eesti; teema-aasta; lugemine; identiteet; seminar
4,6,4,4,3,4,3,4,4,13,kreutzwald; keskus; eesti; teema-aasta; lugemine; identiteet; seminar
4,6,4,4,3,4,3,4,4,13,kreutzwald; keskus; eesti; teema-aasta; lugemine; identiteet; seminar
4,6,4,4,3,4,3,4,5,13,kreutzwald; keskus; eesti; teema-aasta; lugemine; identiteet; seminar
4,6,4,4,3,4,3,4,5,13,kreutzwald; keskus; eesti; teema-aasta; lugemine; identiteet; seminar
4,6,4,4,3,4,4,4,5,13,kreutzwald; keskus; eesti; teema-aasta; lugemine; identiteet; seminar
5,6,4,4,3,4,5,4,5,13,kreutzwald; keskus; eesti; teema-aasta; lugemine; identiteet; seminar
4,5,4,4,3,4,5,4,6,13,kreutzwald; keskus; eesti; teema-aasta; lugemine; identiteet; seminar
4,5,4,4,3,3,5,4,6,13,kreutzwald; keskus; eesti; teema-aasta; lugemine; identiteet; seminar
3,4,5,4,3,2,5,4,6,13,kreutzwald; keskus; eesti; teema-aasta; lugemine; identiteet; seminar
