EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,7,5,3,5,3,5,7,5,12,klaas; braseodüüm; lantano; tabel; neodüüm; mikrofon; mendelejev; kõlar
5,7,5,3,5,3,5,7,5,12,klaas; braseodüüm; lantano; tabel; neodüüm; mikrofon; mendelejev; kõlar
5,7,5,3,5,3,5,7,5,12,klaas; braseodüüm; lantano; tabel; neodüüm; mikrofon; mendelejev; kõlar
5,7,5,3,5,3,5,7,5,12,klaas; braseodüüm; lantano; tabel; neodüüm; mikrofon; mendelejev; kõlar
5,7,5,3,5,3,5,7,5,12,klaas; braseodüüm; lantano; tabel; neodüüm; mikrofon; mendelejev; kõlar
5,7,5,3,5,3,5,7,5,12,klaas; braseodüüm; lantano; tabel; neodüüm; mikrofon; mendelejev; kõlar
5,7,5,3,5,3,5,7,5,12,klaas; braseodüüm; lantano; tabel; neodüüm; mikrofon; mendelejev; kõlar
5,7,5,3,5,3,5,7,5,12,klaas; braseodüüm; lantano; tabel; neodüüm; mikrofon; mendelejev; kõlar
5,7,5,3,5,3,5,7,5,12,klaas; braseodüüm; lantano; tabel; neodüüm; mikrofon; mendelejev; kõlar
5,7,5,3,5,3,5,7,5,12,klaas; braseodüüm; lantano; tabel; neodüüm; mikrofon; mendelejev; kõlar
5,7,5,3,5,3,5,7,5,12,klaas; braseodüüm; lantano; tabel; neodüüm; mikrofon; mendelejev; kõlar
