EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,6,5,6,6,8,5,6,5,10,mälestus; ühislaulmine; traditsioon; meeskoor; noor; laulukaar; proov; repertuaar; laulupidu
7,6,5,6,6,8,5,6,5,10,mälestus; ühislaulmine; traditsioon; meeskoor; noor; laulukaar; proov; repertuaar; laulupidu
7,6,5,6,6,8,5,6,5,10,mälestus; ühislaulmine; traditsioon; meeskoor; noor; laulukaar; proov; repertuaar; laulupidu
7,6,5,6,6,8,5,6,5,10,mälestus; ühislaulmine; traditsioon; meeskoor; noor; laulukaar; proov; repertuaar; laulupidu
7,6,5,6,6,8,5,6,5,10,mälestus; ühislaulmine; traditsioon; meeskoor; noor; laulukaar; proov; repertuaar; laulupidu
7,6,5,6,6,8,5,6,5,10,mälestus; ühislaulmine; traditsioon; meeskoor; noor; laulukaar; proov; repertuaar; laulupidu
7,6,5,6,6,8,5,6,5,10,mälestus; ühislaulmine; traditsioon; meeskoor; noor; laulukaar; proov; repertuaar; laulupidu
7,6,5,6,6,8,5,6,6,10,mälestus; ühislaulmine; traditsioon; meeskoor; noor; laulukaar; proov; repertuaar; laulupidu
8,6,5,6,6,8,5,6,6,10,mälestus; ühislaulmine; traditsioon; meeskoor; noor; laulukaar; proov; repertuaar; laulupidu
8,6,5,6,6,8,5,6,6,10,mälestus; ühislaulmine; traditsioon; meeskoor; noor; laulukaar; proov; repertuaar; laulupidu
8,6,5,6,6,8,5,6,5,10,mälestus; ühislaulmine; traditsioon; meeskoor; noor; laulukaar; proov; repertuaar; laulupidu
