EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,7,5,7,2,6,7,7,7,10,kirikukell; sünnipäev; kirik; ameerika; tempel; kogudus; ori; laulma; jumalateenistus
6,7,5,7,2,6,7,7,7,10,kirikukell; sünnipäev; kirik; ameerika; tempel; kogudus; ori; laulma; jumalateenistus
6,7,5,7,2,6,7,7,7,10,kirikukell; sünnipäev; kirik; ameerika; tempel; kogudus; ori; laulma; jumalateenistus
6,7,5,7,2,6,7,7,7,10,kirikukell; sünnipäev; kirik; ameerika; tempel; kogudus; ori; laulma; jumalateenistus
6,7,5,7,2,6,7,7,7,10,kirikukell; sünnipäev; kirik; ameerika; tempel; kogudus; ori; laulma; jumalateenistus
6,7,5,7,2,6,7,7,7,10,kirikukell; sünnipäev; kirik; ameerika; tempel; kogudus; ori; laulma; jumalateenistus
6,7,5,7,2,6,7,7,7,10,kirikukell; sünnipäev; kirik; ameerika; tempel; kogudus; ori; laulma; jumalateenistus
6,7,5,7,2,6,7,7,7,10,kirikukell; sünnipäev; kirik; ameerika; tempel; kogudus; ori; laulma; jumalateenistus
6,7,5,7,2,6,7,7,7,10,kirikukell; sünnipäev; kirik; ameerika; tempel; kogudus; ori; laulma; jumalateenistus
6,7,5,7,2,6,7,7,7,10,kirikukell; sünnipäev; kirik; ameerika; tempel; kogudus; ori; laulma; jumalateenistus
6,7,5,7,2,6,7,7,7,10,kirikukell; sünnipäev; kirik; ameerika; tempel; kogudus; ori; laulma; jumalateenistus
