EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
1,3,3,2,3,3,2,2,2,13,inglise; keel; euroopa
1,3,3,2,3,3,2,2,2,13,inglise; keel; euroopa
1,3,3,2,3,3,2,2,2,13,inglise; keel; euroopa
1,3,3,2,3,3,2,2,2,13,inglise; keel; euroopa
1,2,3,2,3,3,2,2,2,13,inglise; keel; euroopa
1,2,3,2,3,3,2,3,2,13,inglise; keel; euroopa
2,2,3,3,3,3,2,3,2,13,inglise; keel; euroopa
2,3,3,3,2,3,2,2,2,13,inglise; keel; euroopa
3,3,3,3,2,3,3,3,2,13,inglise; keel; euroopa
3,2,3,3,3,3,3,3,2,13,inglise; keel; euroopa
3,2,2,3,3,3,2,2,1,13,inglise; keel; euroopa
