EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,8,3,6,7,7,7,7,6,13,ema; raamat; lugema; johan; saar; torm; jääma; kon-tiki; isa; pisar
7,8,3,6,7,7,7,7,5,13,ema; raamat; lugema; johan; saar; torm; jääma; kon-tiki; isa; pisar
7,8,3,6,7,7,7,7,6,13,ema; raamat; lugema; johan; saar; torm; jääma; kon-tiki; isa; pisar
7,8,3,6,7,7,7,7,6,13,ema; raamat; lugema; johan; saar; torm; jääma; kon-tiki; isa; pisar
7,8,3,6,7,7,7,7,6,13,ema; raamat; lugema; johan; saar; torm; jääma; kon-tiki; isa; pisar
7,8,4,6,7,8,8,7,6,13,ema; raamat; lugema; johan; saar; torm; jääma; kon-tiki; isa; pisar
7,8,5,6,8,8,8,7,6,13,ema; raamat; lugema; johan; saar; torm; jääma; kon-tiki; isa; pisar
8,8,5,7,7,10,8,8,6,13,ema; raamat; johan; saar; torm; jääma; kon-tiki; lugema; isa; pisar
7,8,5,7,7,10,9,8,6,13,ema; raamat; johan; saar; torm; jääma; kon-tiki; lugema; isa; pisar
7,8,5,6,7,8,9,9,6,13,ema; raamat; johan; saar; torm; jääma; kon-tiki; lugema; isa; pisar
5,8,5,5,6,9,8,7,6,13,ema; raamat; johan; saar; torm; jääma; kon-tiki; lugema; isa; pisar
