Model,Average Score
LaBSE,0.14638759782529132
MiniLM-L12_multi,0.13190657645778903
MiniLM_multi,0.12866115584283333
EstBERT,0.10070452264670764
est-roberta,0.09213347504436022
multi_e5,0.07245371453963957
bertMulti,0.050490766712621475
distilbertMulti,0.048927864503622076
xml_roberta,0.0
