EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,2,1,2,0,1,2,2,1,10,pillimäng; suvepäev; tants; lõuna-eesti; vana
3,2,1,2,0,1,2,2,1,10,pillimäng; suvepäev; tants; lõuna-eesti; vana
3,2,1,2,0,1,2,2,1,10,pillimäng; suvepäev; tants; lõuna-eesti; vana
3,2,1,2,0,1,2,2,1,10,pillimäng; suvepäev; tants; lõuna-eesti; vana
3,2,1,2,0,1,2,2,1,10,pillimäng; suvepäev; tants; lõuna-eesti; vana
3,2,1,2,0,1,2,2,1,10,pillimäng; suvepäev; tants; lõuna-eesti; vana
3,2,1,2,0,1,2,2,1,10,pillimäng; suvepäev; tants; lõuna-eesti; vana
3,2,2,2,0,1,2,2,1,10,pillimäng; suvepäev; tants; lõuna-eesti; vana
3,2,3,2,0,1,2,2,1,10,pillimäng; suvepäev; tants; lõuna-eesti; vana
4,2,1,1,0,1,2,2,1,10,pillimäng; suvepäev; vana; lõuna-eesti; tants
4,2,4,1,0,1,3,2,1,10,suvepäev; lõuna-eesti; tants; pillimäng; vana
