EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,3,3,1,1,3,2,2,3,10,september; muusika; tõnis; hommikuinimene; laul
3,3,3,1,1,3,2,2,3,10,september; muusika; tõnis; hommikuinimene; laul
3,3,3,1,1,3,2,2,3,10,september; muusika; tõnis; hommikuinimene; laul
3,3,3,1,1,3,2,2,3,10,september; muusika; tõnis; hommikuinimene; laul
3,3,3,1,1,3,2,2,3,10,september; muusika; tõnis; hommikuinimene; laul
3,3,3,1,1,3,2,2,3,10,september; muusika; tõnis; hommikuinimene; laul
3,3,3,1,1,3,2,2,3,10,september; muusika; tõnis; hommikuinimene; laul
3,3,3,1,1,3,2,2,3,10,september; muusika; tõnis; hommikuinimene; laul
3,3,3,1,1,3,2,2,3,10,september; muusika; tõnis; hommikuinimene; laul
3,3,3,1,1,3,2,2,3,10,september; muusika; tõnis; hommikuinimene; laul
3,3,3,1,1,3,2,2,3,10,september; muusika; tõnis; hommikuinimene; laul
