EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
1,2,3,1,2,1,1,3,2,11,nurk; heino; seadused; teistmoodi; väärtused
1,2,3,1,2,1,1,3,2,11,nurk; heino; seadused; teistmoodi; väärtused
1,2,3,1,2,1,1,3,2,11,nurk; heino; seadused; teistmoodi; väärtused
1,2,3,1,2,1,1,3,2,11,nurk; heino; seadused; teistmoodi; väärtused
1,2,3,1,2,1,1,3,2,11,nurk; heino; seadused; teistmoodi; väärtused
1,2,3,1,2,1,1,3,2,11,nurk; heino; seadused; teistmoodi; väärtused
1,2,3,1,2,1,1,3,2,11,nurk; heino; seadused; teistmoodi; väärtused
1,2,3,1,2,1,1,3,2,11,nurk; heino; seadused; teistmoodi; väärtused
1,2,3,1,2,1,1,3,2,11,nurk; heino; seadused; teistmoodi; väärtused
1,2,3,1,2,1,1,3,2,11,nurk; heino; seadused; teistmoodi; väärtused
1,2,3,1,2,1,1,3,2,11,nurk; heino; seadused; teistmoodi; väärtused
