EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,3,3,0,2,1,1,2,1,11,ants; täiskasvanu; arvamus; enesetunnetus; tooming
3,3,3,0,2,1,1,2,1,11,ants; täiskasvanu; arvamus; enesetunnetus; tooming
3,3,3,0,2,1,1,2,1,11,ants; täiskasvanu; arvamus; enesetunnetus; tooming
3,3,3,0,2,1,1,2,1,11,ants; täiskasvanu; arvamus; enesetunnetus; tooming
3,3,3,0,2,1,1,2,1,11,ants; täiskasvanu; arvamus; enesetunnetus; tooming
3,3,3,0,2,1,1,2,1,11,ants; täiskasvanu; arvamus; enesetunnetus; tooming
3,3,3,0,2,1,1,2,1,11,ants; täiskasvanu; arvamus; enesetunnetus; tooming
3,3,3,0,2,1,1,2,1,11,ants; täiskasvanu; arvamus; enesetunnetus; tooming
3,3,3,0,2,1,1,2,1,11,ants; täiskasvanu; arvamus; enesetunnetus; tooming
3,3,3,0,2,1,1,2,1,11,ants; täiskasvanu; arvamus; enesetunnetus; tooming
3,3,3,0,2,1,1,2,1,11,ants; täiskasvanu; arvamus; enesetunnetus; tooming
