EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,2,4,1,2,5,4,2,1,12,kriska; narva; kivi; keraamika; aivar; savinõu
2,2,4,1,2,5,4,2,1,12,kriska; narva; kivi; keraamika; aivar; savinõu
2,2,4,1,2,5,4,2,1,12,kriska; narva; kivi; keraamika; aivar; savinõu
2,2,4,1,2,5,4,2,1,12,kriska; narva; kivi; keraamika; aivar; savinõu
2,2,4,1,2,5,4,2,1,12,kriska; narva; kivi; keraamika; aivar; savinõu
2,2,4,1,2,5,4,2,1,12,kriska; narva; kivi; keraamika; aivar; savinõu
2,2,4,1,2,5,4,2,1,12,kriska; narva; kivi; keraamika; aivar; savinõu
2,2,4,1,2,5,4,2,1,12,kriska; narva; kivi; keraamika; aivar; savinõu
2,2,4,1,2,5,4,2,1,12,kriska; narva; kivi; keraamika; aivar; savinõu
2,2,4,1,2,5,4,2,1,12,kriska; narva; kivi; keraamika; aivar; savinõu
2,2,4,1,2,5,4,2,1,12,kriska; narva; kivi; keraamika; aivar; savinõu
