EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,3,3,3,2,1,3,2,0,10,ühendproov; saatja; traditsioon; repertuaar; laulupidu; lastekoor
3,3,3,3,2,1,3,2,0,10,ühendproov; saatja; traditsioon; repertuaar; laulupidu; lastekoor
3,3,3,3,2,1,3,2,0,10,ühendproov; saatja; traditsioon; repertuaar; laulupidu; lastekoor
3,3,3,3,2,1,3,2,0,10,ühendproov; saatja; traditsioon; repertuaar; laulupidu; lastekoor
3,3,3,3,2,1,3,2,0,10,ühendproov; saatja; traditsioon; repertuaar; laulupidu; lastekoor
3,3,3,3,2,1,3,2,0,10,ühendproov; saatja; traditsioon; repertuaar; laulupidu; lastekoor
3,3,3,3,2,1,3,2,0,10,ühendproov; saatja; traditsioon; repertuaar; laulupidu; lastekoor
3,3,3,3,2,1,3,2,0,10,ühendproov; saatja; traditsioon; repertuaar; laulupidu; lastekoor
3,3,3,3,2,1,3,2,0,10,ühendproov; saatja; traditsioon; repertuaar; laulupidu; lastekoor
3,3,3,3,2,1,3,2,0,10,ühendproov; saatja; traditsioon; repertuaar; laulupidu; lastekoor
3,3,3,3,2,1,3,2,0,10,ühendproov; saatja; traditsioon; repertuaar; laulupidu; lastekoor
