EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,3,3,2,4,2,4,2,2,13,salaja; vangla; nurk; raamat; sidepidamine; ämber
3,3,3,2,4,2,4,2,2,13,salaja; vangla; nurk; raamat; sidepidamine; ämber
3,3,3,2,4,2,4,2,2,13,salaja; vangla; nurk; raamat; sidepidamine; ämber
3,3,3,2,4,2,4,2,2,13,salaja; vangla; nurk; raamat; sidepidamine; ämber
3,3,3,2,4,2,4,2,2,13,salaja; vangla; nurk; raamat; sidepidamine; ämber
3,3,3,2,4,2,4,2,2,13,salaja; vangla; nurk; raamat; sidepidamine; ämber
3,3,3,2,4,2,4,2,2,13,salaja; vangla; nurk; raamat; sidepidamine; ämber
3,3,3,2,4,2,4,2,2,13,salaja; vangla; nurk; raamat; sidepidamine; ämber
3,3,3,2,4,2,4,2,2,13,salaja; vangla; nurk; raamat; sidepidamine; ämber
3,3,3,2,4,2,4,2,2,13,salaja; vangla; nurk; raamat; sidepidamine; ämber
3,3,3,2,4,2,4,2,2,13,salaja; vangla; nurk; raamat; sidepidamine; ämber
