EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
0,3,5,3,3,6,5,1,6,15,lasmann; piret; peeter; kriivan; rõõm; autasu; põlendik; toomas; naissoo; kadri; jürgens; tõnu
0,3,5,3,3,6,5,1,6,15,lasmann; piret; peeter; kriivan; rõõm; autasu; põlendik; toomas; naissoo; kadri; jürgens; tõnu
0,3,5,3,3,6,5,1,6,15,lasmann; piret; peeter; kriivan; rõõm; autasu; põlendik; toomas; naissoo; kadri; jürgens; tõnu
0,3,5,3,3,6,5,1,6,15,lasmann; piret; peeter; kriivan; rõõm; autasu; põlendik; toomas; naissoo; kadri; jürgens; tõnu
0,3,5,3,3,6,5,1,6,15,lasmann; piret; peeter; kriivan; rõõm; autasu; põlendik; toomas; naissoo; kadri; jürgens; tõnu
0,3,5,3,3,6,5,1,6,15,lasmann; piret; peeter; kriivan; rõõm; autasu; põlendik; toomas; naissoo; kadri; jürgens; tõnu
0,3,5,3,3,6,5,1,6,15,lasmann; piret; peeter; kriivan; rõõm; autasu; põlendik; toomas; naissoo; kadri; jürgens; tõnu
0,3,5,3,3,6,5,1,6,15,lasmann; piret; peeter; kriivan; rõõm; autasu; põlendik; toomas; naissoo; kadri; jürgens; tõnu
0,3,5,3,3,6,5,1,6,15,lasmann; piret; peeter; kriivan; rõõm; autasu; põlendik; toomas; naissoo; kadri; jürgens; tõnu
0,3,5,3,3,6,5,1,6,15,lasmann; piret; peeter; kriivan; rõõm; autasu; põlendik; toomas; naissoo; kadri; jürgens; tõnu
0,3,5,3,3,6,5,1,6,15,lasmann; piret; peeter; kriivan; rõõm; autasu; põlendik; toomas; naissoo; kadri; jürgens; tõnu
