EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,1,2,0,0,2,2,3,3,10,tulemus; akadeemia; riigikogu; teadus
2,1,2,0,0,2,2,3,3,10,tulemus; akadeemia; riigikogu; teadus
2,1,2,0,0,2,2,3,3,10,tulemus; akadeemia; riigikogu; teadus
2,1,2,0,0,2,2,3,3,10,tulemus; akadeemia; riigikogu; teadus
2,1,2,0,0,2,2,3,3,10,tulemus; akadeemia; riigikogu; teadus
2,1,2,0,0,2,2,3,3,10,tulemus; akadeemia; riigikogu; teadus
2,1,2,0,0,2,2,3,3,10,tulemus; akadeemia; riigikogu; teadus
2,1,2,0,0,2,2,3,3,10,tulemus; akadeemia; riigikogu; teadus
2,1,2,0,0,2,2,3,3,10,tulemus; akadeemia; riigikogu; teadus
2,1,2,0,0,2,2,3,3,10,tulemus; akadeemia; riigikogu; teadus
2,1,2,0,0,2,2,3,3,10,tulemus; akadeemia; riigikogu; teadus
