EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
1,5,7,0,2,2,1,2,3,13,aeg; port; surfaja; uudis; kristjan; internet; tehnoloogia
1,5,7,0,2,2,1,2,3,13,aeg; port; surfaja; uudis; kristjan; internet; tehnoloogia
1,5,7,0,2,2,1,2,3,13,aeg; port; surfaja; uudis; kristjan; internet; tehnoloogia
1,5,7,0,2,2,1,2,3,13,aeg; port; surfaja; uudis; kristjan; internet; tehnoloogia
1,5,7,0,2,2,1,2,3,13,aeg; port; surfaja; uudis; kristjan; internet; tehnoloogia
1,5,5,0,2,2,1,2,3,13,aeg; port; surfaja; uudis; kristjan; internet; tehnoloogia
1,5,5,0,2,2,1,2,3,13,aeg; port; surfaja; uudis; kristjan; internet; tehnoloogia
1,5,5,0,2,2,2,2,3,13,aeg; port; surfaja; uudis; kristjan; internet; tehnoloogia
1,5,4,0,2,2,2,2,3,13,aeg; port; surfaja; uudis; kristjan; internet; tehnoloogia
1,5,5,0,2,2,1,2,3,13,aeg; port; surfaja; uudis; kristjan; internet; tehnoloogia
1,5,5,0,2,1,1,2,3,13,aeg; port; surfaja; uudis; kristjan; internet; tehnoloogia
