EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,0,4,0,2,1,2,2,2,12,lasteporno; tarkus; port; arhiveerima; john; kristjan; lamar; jälitamiskohustus
2,0,4,0,2,1,2,2,2,12,lasteporno; tarkus; port; arhiveerima; john; kristjan; lamar; jälitamiskohustus
2,0,4,0,2,1,2,2,2,12,lasteporno; tarkus; port; arhiveerima; john; kristjan; lamar; jälitamiskohustus
2,0,4,0,2,1,2,2,2,12,lasteporno; tarkus; port; arhiveerima; john; kristjan; lamar; jälitamiskohustus
2,0,4,0,2,1,2,2,2,12,lasteporno; tarkus; port; arhiveerima; john; kristjan; lamar; jälitamiskohustus
2,0,4,0,2,1,2,2,2,12,lasteporno; tarkus; port; arhiveerima; john; kristjan; lamar; jälitamiskohustus
2,0,4,0,2,1,2,2,2,12,lasteporno; tarkus; port; arhiveerima; john; kristjan; lamar; jälitamiskohustus
2,0,4,0,2,1,2,2,2,12,lasteporno; tarkus; port; arhiveerima; john; kristjan; lamar; jälitamiskohustus
2,0,4,1,2,1,2,3,2,12,lasteporno; tarkus; port; arhiveerima; john; kristjan; lamar; jälitamiskohustus
2,1,4,1,2,1,1,3,2,12,lasteporno; tarkus; port; arhiveerima; john; kristjan; lamar; jälitamiskohustus
1,1,4,1,2,1,1,3,2,12,lasteporno; tarkus; port; arhiveerima; john; kristjan; lamar; jälitamiskohustus
