EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,3,4,1,2,1,2,1,3,11,klaas; eerik; neodüüm; mart; mendelejevi; aktiivne; muldmetall
3,3,4,1,2,1,2,1,3,11,klaas; eerik; neodüüm; mart; mendelejevi; aktiivne; muldmetall
3,3,4,1,2,1,2,1,3,11,klaas; eerik; neodüüm; mart; mendelejevi; aktiivne; muldmetall
3,3,4,1,2,1,2,1,3,11,klaas; eerik; neodüüm; mart; mendelejevi; aktiivne; muldmetall
3,3,4,1,2,1,2,1,3,11,klaas; eerik; neodüüm; mart; mendelejevi; aktiivne; muldmetall
3,3,4,1,2,1,2,1,3,11,klaas; eerik; neodüüm; mart; mendelejevi; aktiivne; muldmetall
3,3,4,1,2,1,2,1,3,11,klaas; eerik; neodüüm; mart; mendelejevi; aktiivne; muldmetall
3,3,4,1,2,1,2,1,3,11,klaas; eerik; neodüüm; mart; mendelejevi; aktiivne; muldmetall
3,3,4,1,2,1,2,1,3,11,klaas; eerik; neodüüm; mart; mendelejevi; aktiivne; muldmetall
3,3,4,1,2,1,2,1,3,11,klaas; eerik; neodüüm; mart; mendelejevi; aktiivne; muldmetall
3,3,4,1,2,1,2,1,3,11,klaas; eerik; neodüüm; mart; mendelejevi; aktiivne; muldmetall
