EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,3,6,1,5,4,4,3,2,11,elektronkiir; marek; valgus; antenn; alar; signaal
3,3,6,1,5,4,4,3,2,11,elektronkiir; marek; valgus; antenn; alar; signaal
3,3,6,1,5,4,4,3,2,11,elektronkiir; marek; valgus; antenn; alar; signaal
3,3,6,1,5,4,4,3,2,11,elektronkiir; marek; valgus; antenn; alar; signaal
3,3,6,1,5,4,4,3,2,11,elektronkiir; marek; valgus; antenn; alar; signaal
3,3,6,1,5,4,4,3,2,11,elektronkiir; marek; valgus; antenn; alar; signaal
3,3,6,1,5,4,4,3,2,11,elektronkiir; marek; valgus; antenn; alar; signaal
3,3,6,1,5,4,4,3,2,11,elektronkiir; marek; valgus; antenn; alar; signaal
3,3,6,1,5,4,4,3,2,11,elektronkiir; marek; valgus; antenn; alar; signaal
3,3,6,1,5,4,4,3,2,11,elektronkiir; marek; valgus; antenn; alar; signaal
3,3,6,1,5,4,4,3,2,11,elektronkiir; marek; valgus; antenn; alar; signaal
